,PC1,PC2,PC3
Literacy_Rate_norm,0.3136684499772459,-0.10734707830914704,0.42850737132520283
Urbanization_Rate_norm,0.1704834741132376,0.5983201067323359,0.557753199746915
Electricity_Access_norm,0.3494571431259309,-0.18455847221367933,-0.2070120569519684
Safe_Water_Access_norm,0.37389688578085595,-0.20013683128568002,-0.35617214116483775
Per_Capita_Income_norm,0.19555876933587774,0.3832757120291299,-0.39851519399022717
Healthcare_Facilities_Per_Lakh_norm,0.3192677047136669,0.18022334060351114,-0.04087442693417549
Road_Density_norm,0.2735483265817169,0.21195120068143605,-0.23475921943368183
Education_Score_norm,0.3194320287152211,-0.011349004291951098,0.10618152836588605
Health_Score_norm,0.3438867466958194,-0.008933734847479058,0.05903936355283136
Infrastructure_Score_norm,0.3073515433695026,0.14812889738479304,-0.046505279021096
Unemployment_Rate_norm,0.28436708532822225,-0.5567030237012992,0.3210301246107074
