,Per_Capita_Income,Literacy_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Electricity_Access,Unemployment_Rate,Urbanization_Rate
Per_Capita_Income,1.0,0.6719755820124852,0.8542319619498557,0.9098976778274581,0.6707909588926358,-0.3196684418608334,0.8329744085459416
Literacy_Rate,0.6719755820124852,1.0,0.9080738108766079,0.8781204024768023,0.9466706264943098,-0.8458339665294888,0.5014649071437579
Healthcare_Facilities_Per_Lakh,0.8542319619498557,0.9080738108766079,1.0,0.9821338973281298,0.9051147413557302,-0.664499377992507,0.7161117904557799
Road_Density,0.9098976778274581,0.8781204024768023,0.9821338973281298,1.0,0.8914788655166751,-0.6104638014875345,0.7501702632121156
Electricity_Access,0.6707909588926358,0.9466706264943098,0.9051147413557302,0.8914788655166751,1.0,-0.8861072283878948,0.4400185512071843
Unemployment_Rate,-0.3196684418608334,-0.8458339665294888,-0.664499377992507,-0.6104638014875345,-0.8861072283878948,1.0,-0.09349097951316841
Urbanization_Rate,0.8329744085459416,0.5014649071437579,0.7161117904557799,0.7501702632121156,0.4400185512071843,-0.09349097951316841,1.0
