Model,Train R²,Test R²,R² Gap,Train RMSE,Test RMSE,Train MAE,Test MAE
Ridge,0.9994773710560344,0.9990766881710419,0.00040068288499250926,0.46878447084378644,0.5558821024063687,0.3982391580553781,0.5244823416155544
Linear Regression,0.9997550146288811,0.9981544773763288,0.0016005372525522699,0.3209567869105173,0.7859016097778104,0.2423732698929685,0.5820247450912444
Lasso,0.9981006154367938,0.9898716743115475,0.008228941125246303,0.893681853813837,1.8410997571001306,0.7441077970282788,1.217820934991825
Gradient Boosting,0.999762147517104,0.9256404969341562,0.07412165058294784,0.3162498529935842,4.988577585380331,0.19169542744807158,2.9041520223557296
Random Forest,0.9435321977724803,0.8721401004755303,0.07139209729695006,4.872781415739826,6.541474775229282,2.3771983022888037,3.5387160328277325
XGBoost,0.9890146108482899,0.8642340382821453,0.12478057256614461,2.149236516161024,6.740683591813362,1.020120780389225,4.9008822952177935
