District,SEDI,SEDI_Standardized,Spatial_Lag,Local_I,P_Value,Significant,Cluster_Type
Bagalkot,32.08295637652832,-0.5187292554700612,34.31692570119619,0.21104174694811348,0.359,False,NS
Ballari,37.375831204544255,-0.25364232855914576,29.50652155094508,0.16430106125668217,0.136,False,NS
Belagavi,41.44151950190413,-0.05001748354674119,45.76631152080861,-0.008332124630338972,0.703,False,NS
Bengaluru Rural,54.73241159098068,0.6156400001989322,51.41039589998688,0.27658307602212673,0.317,False,NS
Bengaluru Urban,94.34103260869566,2.5993875789605947,43.48867169644388,0.13649784300994083,0.89,False,NS
Bidar,24.47049318749844,-0.899989825306519,17.32133976707371,1.1322287011415402,0.002,True,LL
Chamarajanagar,16.423375776640704,-1.3030195009082068,58.91650530890183,-1.0752452169482383,0.042,True,LH
Chikkaballapur,38.84499535843796,-0.18006110411342272,54.587879146495425,-0.109549405485333,0.155,False,NS
Chikkamagaluru,48.10141591895666,0.283534986917266,61.4858921849202,0.270458215959865,0.02,True,HH
Chitradurga,36.52801191284637,-0.29610428315183157,46.61931944865958,-0.061976421979797726,0.638,False,NS
Dakshina Kannada,75.64079017153375,1.6628096395169427,55.97801733440478,1.127425815804258,0.095,False,NS
Davanagere,47.20072264508139,0.23842490594631127,37.11600508515734,-0.06357728637919678,0.559,False,NS
Dharwad,65.53482922576795,1.1566653951046846,40.94764957603584,-0.08646343654323216,0.853,False,NS
Gadag,33.789608633862,-0.4332537403856149,37.288699639105545,0.11178215230732011,0.549,False,NS
Hassan,48.69699437887235,0.3133637791716574,53.345216989865456,0.17114805172151348,0.223,False,NS
Haveri,37.03074765162682,-0.27092540090504413,51.90215211354443,-0.12838884953131516,0.254,False,NS
Kalaburagi,21.704722899977508,-1.0385099244744935,17.874493824577893,1.2777224738771558,0.005,True,LL
Kodagu,61.057614176364815,0.9324297543365696,56.435962439081166,0.6535961332233235,0.097,False,NS
Kolar,40.27103778604832,-0.10863957667074263,54.302670660973355,-0.06454461616007315,0.171,False,NS
Koppal,25.639472880698623,-0.841442959083374,36.31048043920409,0.2583222069759299,0.474,False,NS
Mandya,39.83897544346435,-0.1302788714493137,54.2333853755371,-0.07694881217280636,0.155,False,NS
Mysuru,69.90163628257872,1.3753713915086831,40.35708607882639,-0.14349243812866772,0.811,False,NS
Raichur,12.008908255193044,-1.5241125112727216,22.244080929009932,1.5416350213291214,0.013,True,LL
Ramanagara,35.76847061878971,-0.33414494612721,61.32809981073643,-0.3160933282754433,0.023,True,LH
Shivamogga,52.59218434675287,0.5084494314629546,47.660555195917695,0.1329366646136409,0.544,False,NS
Tumakuru,47.82644312796271,0.269763323215174,52.70517712407368,0.13868762594907175,0.233,False,NS
Udupi,69.44187785107724,1.3523449732221586,59.55708406597321,1.159335060747012,0.042,True,HH
Uttara Kannada,60.393415716257934,0.8991642163501562,54.36007234406125,0.5367937188331063,0.16,False,NS
Vijayapura,20.465225704746377,-1.100588570404174,25.872738602239053,0.913224527460736,0.041,True,LL
Yadgir,0.3448855989232839,-2.1082903015736667,22.14646128478874,2.1428367831091317,0.008,True,LL
Vijayanagara,26.155492060905992,-0.8155987925098112,31.202908723875865,0.4590233448508832,0.205,False,NS
