,Mean,Median,Std Dev,Min,Max,Range,Q1,Q3,IQR,Skewness,Kurtosis,CV
Per_Capita_Income,120064.51612903226,105000.0,55004.05165917081,75500.0,385000.0,309500.0,92750.0,130000.0,37250.0,3.9330919789681573,18.7024711006791,45.812079565671546
Literacy_Rate,73.3193548387097,72.5,8.468940089323997,51.8,88.6,36.8,68.85,77.35,8.5,-0.16985642294202108,0.31562399637760485,11.550756424349679
Healthcare_Facilities_Per_Lakh,24.432258064516123,22.8,8.14372507299431,13.5,48.5,35.0,18.0,28.0,10.0,1.0561323656440198,1.0978143301058054,33.33185598928223
Road_Density,1.5490322580645162,1.48,0.45922655874640406,0.88,3.15,2.27,1.2349999999999999,1.75,0.5150000000000001,1.4837608625426673,3.6516793378554135,29.646029406785768
Electricity_Access,91.58709677419357,91.8,4.055181207252755,82.5,98.5,16.0,88.85,94.85,6.0,-0.38437272005081524,-0.5404585856822091,4.427677424092539
Unemployment_Rate,3.8064516129032255,3.6,1.2013701854884884,2.3,7.1,4.8,2.8499999999999996,4.35,1.5,1.0208820704082109,0.6257006463386046,31.561420127239952
Urbanization_Rate,28.999999999999996,24.5,15.014015674251397,15.4,89.7,74.3,20.15,30.950000000000003,10.800000000000004,2.5699267397125825,8.345984017870975,51.77246784224621
