,Per_Capita_Income,Literacy_Rate,Healthcare_Facilities_Per_Lakh,Road_Density,Electricity_Access,Unemployment_Rate,Urbanization_Rate
Per_Capita_Income,1.0,0.8962388228983511,0.9713594388783379,0.9728721456456941,0.9645990971904613,-0.8130548995212532,0.3633979089310776
Literacy_Rate,0.8962388228983511,1.0,0.9386026864919218,0.9166246644022077,0.9360758407706219,-0.8754413619448389,0.3263742220338132
Healthcare_Facilities_Per_Lakh,0.9713594388783379,0.9386026864919218,1.0,0.9824561403508771,0.9670263233594828,-0.8317531441572165,0.36917493422452247
Road_Density,0.9728721456456941,0.9166246644022077,0.9824561403508771,1.0,0.9850761369028975,-0.8311479393470124,0.3165221157367627
Electricity_Access,0.9645990971904613,0.9360758407706219,0.9670263233594828,0.9850761369028975,1.0,-0.8645213752092135,0.2394835174733574
Unemployment_Rate,-0.8130548995212532,-0.8754413619448389,-0.8317531441572165,-0.8311479393470124,-0.8645213752092135,1.0,-0.05560040363269425
Urbanization_Rate,0.3633979089310776,0.3263742220338132,0.36917493422452247,0.3165221157367627,0.2394835174733574,-0.05560040363269425,1.0
